mode	label	channel	graph	scale	mean_radius	re	im	abs	jacobian
selected_channel	GL06_prob1000	3	4	0.25	62662.006158237724	0.021537728788625695	0.0034285293835518097	0.02180891045206693	1.1304509428405329e+55
selected_channel	GL06_prob1000	3	4	0.125	125325.01231647545	0.043075465842226025	0.006857754713770474	0.043617938479930736	2.89406963014054e+57
selected_channel	GL06_prob1000	3	4	0.0625	250651.0246329509	0.08615093988572303	0.013716205411790229	0.08723599448674776	7.408965733324158e+59
selected_channel	GL06_prob1000	4	4	16.0	978.1094712229884	0.00033629341022195936	5.3034226309345254e-05	0.00034044953652332365	3.996057410090965e+40
selected_channel	GL06_prob1000	4	4	8.0	1957.2189424459768	0.000672821797418229	0.0001066171341801672	0.0006812168409411853	1.0256035185859069e+43
selected_channel	GL06_prob1000	4	4	4.0	3915.4378848919537	0.001345876701887458	0.0002137810553966204	0.0013627495868023423	2.6288939019144502e+45
selected_channel	GL06_prob1000	4	4	2.0	7831.875769783907	0.002691985577166514	0.00042810795229022335	0.0027258141474588208	6.7342578443981054e+47
selected_channel	GL06_prob1000	4	4	1.0	15664.751539567815	0.00538420286088774	0.0008567612741288117	0.005451942803078417	1.7245192422561031e+50
selected_channel	GL06_prob1000	4	4	0.5	31330.50307913563	0.010768637195463414	0.0017140676811219237	0.010904199881833826	4.415472397453225e+52
selected_channel	GL06_prob1000	4	4	0.25	62662.006158237724	0.02153750574706615	0.0034286803793227116	0.021808713922385703	1.1304509428405329e+55
selected_channel	GL06_prob1000	4	4	0.125	125325.01231647545	0.04307524280666053	0.006857905705083687	0.04361774195797599	2.89406963014054e+57
selected_channel	GL06_prob1000	4	4	0.0625	250651.0246329509	0.08615071682399811	0.013716356404385378	0.08723579794041454	7.408965733324158e+59
selected_channel	GL06_prob1000	5	4	16.0	978.1094712229884	0.0003365348438894694	5.286536187822578e-05	0.00034066177895124267	3.996057410090965e+40
selected_channel	GL06_prob1000	5	4	8.0	1957.2189424459768	0.0006730631725985703	0.00010644860261309645	0.0006814288952684159	1.0256035185859069e+43
selected_channel	GL06_prob1000	5	4	4.0	3915.4378848919537	0.0013461180473460165	0.00021361268982061655	0.001362961547015561	2.6288939019144502e+45
selected_channel	GL06_prob1000	5	4	2.0	7831.875769783907	0.002692226907640661	0.0004279396696325798	0.0027260260605998683	6.7342578443981054e+47
selected_channel	GL06_prob1000	5	4	1.0	15664.751539567815	0.005384444184073756	0.0008565930325466399	0.005452154692854298	1.7245192422561031e+50
selected_channel	GL06_prob1000	5	4	0.5	31330.50307913563	0.01076887851487526	0.0017138994602445786	0.010904411759832285	4.415472397453225e+52
selected_channel	GL06_prob1000	5	4	0.25	62662.006158237724	0.021537747063861235	0.00342851216881995	0.021808925793780163	1.1304509428405329e+55
