mode	label	graph	scale	x0	x3	mean_radius	re	im	abs	jacobian
no_lmb	GL00_im_plus	0	8.0	0.9951779342780904	0.9992422578822229	762.5450999103285	-0.0032780751099995456	0.003548782090949924	0.004831110716579102	6.386635132685257e+38
no_lmb	GL00_im_plus	0	4.0	0.9975889671390452	0.9996211289411114	1526.090199820657	-0.006542149049368981	0.007079205127861546	0.009639235417111706	1.6441564486373127e+41
no_lmb	GL00_im_plus	0	2.0	0.9987944835695226	0.9998105644705557	3053.180399641314	-0.013070338900450567	0.01414011364525629	0.01925555953155853	4.220818614071955e+43
no_lmb	GL00_im_plus	0	1.0	0.9993972417847613	0.9999052822352779	6107.360799282628	-0.026126739507379187	0.02826196177537876	0.03848824496751467	1.082039113426538e+46
no_lmb	GL00_im_plus	0	0.5	0.9996986208923806	0.9999526411176389	12215.72159856495	-0.05223955115995985	0.0565056735573737	0.07695363441427926	2.7719536011324123e+48
no_lmb	GL00_im_plus	0	0.25	0.9998493104461903	0.9999763205588195	24432.4431971299	-0.10446517965631963	0.11299310485937797	0.15388442255923607	7.098676861043339e+50
no_lmb	GL00_im_plus	0	0.125	0.9999246552230951	0.9999881602794097	48865.8863942598	-0.20891643922642267	0.22596797129674623	0.3077460034362992	1.8175782097998875e+53
no_lmb	GL00_im_plus	0	0.0625	0.9999623276115476	0.9999940801397049	97732.77278931161	-0.41781896006901403	0.4519177064506958	0.6154691680310311	4.653405924735445e+55
no_lmb	GL03_re_minus_im_plus	2	8.0	0.9988104543377876	0.9997585980068706	2490.562481572587	-0.0170084739757981	0.04384363344540887	0.047027145147040095	1.688168662037282e+43
no_lmb	GL03_re_minus_im_plus	2	4.0	0.9994052271688938	0.9998792990034353	4982.124963145174	-0.034000888821654335	0.08762450549558455	0.09398996969894301	4.327905131343892e+45
no_lmb	GL03_re_minus_im_plus	2	2.0	0.9997026135844469	0.9999396495017177	9965.249926290348	-0.06798572788415466	0.17518630226454254	0.18791567177077592	1.108737008418676e+48
no_lmb	GL03_re_minus_im_plus	2	1.0	0.9998513067922234	0.9999698247508588	19931.499852580695	-0.13595541074523187	0.3503099221248702	0.37576710240524963	2.8393825078864354e+50
no_lmb	GL03_re_minus_im_plus	2	0.5	0.9999256533961117	0.9999849123754294	39863.99970516139	-0.2718947787084109	0.7005571749807408	0.751469976849303	7.270119624486611e+52
no_lmb	GL03_re_minus_im_plus	2	0.25	0.9999628266980558	0.9999924561877147	79728.9994103027	-0.5437735158424998	1.4010516872734258	1.502875732368923	1.8613170899053922e+55
no_lmb	GL03_re_minus_im_plus	2	0.125	0.9999814133490279	0.9999962280938574	159458.9988206054	-1.0875309900462287	2.802040714878437	3.0056872462296194	4.7651848358501165e+57
no_lmb	GL03_re_minus_im_plus	2	0.0625	0.999990706674514	0.9999981140469287	318918.9976490143	-2.1750459405990292	5.604018773977739	6.011310278367876	1.2199145936755452e+60
no_lmb	GL05_re_plus	3	8.0	0.9937275246464896	0.9925598361590824	145.91616745768596	0.002817917425194097	0.0006293826566149782	0.002887348462458291	2.361073129065329e+34
no_lmb	GL05_re_plus	3	4.0	0.9968637623232448	0.9962799180795412	292.8323349153719	0.005594731047037817	0.0012640792734558252	0.005735757308173828	6.128239658572462e+36
no_lmb	GL05_re_plus	3	2.0	0.9984318811616224	0.9981399590397706	586.6646698307438	0.011148469561868284	0.002533167534051135	0.011432642359816662	1.5796508315898845e+39
no_lmb	GL05_re_plus	3	1.0	0.9992159405808112	0.9990699795198853	1174.3293396614877	0.022256003931631893	0.00507119460581427	0.022826447943884175	4.057811112254004e+41
no_lmb	GL05_re_plus	3	0.5	0.9996079702904056	0.9995349897599426	2349.658679322847	0.0444711017565921	0.010147174772816204	0.04561407729325725	1.0405829128159795e+44
no_lmb	GL05_re_plus	3	0.25	0.9998039851452027	0.9997674948799713	4700.317358644971	0.08890131205139568	0.02029909830355932	0.09118934519118554	2.6661770374666654e+46
no_lmb	GL05_re_plus	3	0.125	0.9999019925726014	0.9998837474399856	9401.634717289942	0.1777617399880121	0.040602927011689445	0.1823398856133298	6.828339142272794e+48
no_lmb	GL05_re_plus	3	0.0625	0.9999509962863007	0.9999418737199929	18804.2694345881	0.35548259954748423	0.08121057526019179	0.3646409687831694	1.7484294290799525e+51
no_lmb	GL06_re_minus	4	8.0	0.9961721817724385	0.9994397826526118	1022.1334538298125	-0.0047799134294687394	-0.003274475082518689	0.005793941616831446	5.3963226077857816e+39
no_lmb	GL06_re_minus	4	4.0	0.9980860908862192	0.9997198913263059	2045.266907659625	-0.009528224639403114	-0.00653390674109607	0.011553311303702903	1.3875494165653373e+42
no_lmb	GL06_re_minus	4	2.0	0.9990430454431096	0.999859945663153	4091.53381531925	-0.019024947919424492	-0.013052814179450341	0.0230721607427669	3.5599384951313926e+44
no_lmb	GL06_re_minus	4	1.0	0.9995215227215548	0.9999299728315765	8184.0676306385	-0.03801844474355884	-0.026090651041298957	0.04610991447051134	9.123451965839522e+46
no_lmb	GL06_re_minus	4	0.5	0.9997607613607774	0.9999649864157882	16369.135261277	-0.07600546348027915	-0.05216633574019969	0.09218544930416775	2.336885553678393e+49
no_lmb	GL06_re_minus	4	0.25	0.9998803806803886	0.9999824932078941	32739.270522552062	-0.15197951348834693	-0.10431771062609013	0.18433653265270913	5.984068198743437e+51
no_lmb	GL06_re_minus	4	0.125	0.9999401903401943	0.9999912466039471	65479.541045466365	-0.3039276197075726	-0.20862046309772414	0.3686387061123937	1.532131556549674e+54
no_lmb	GL06_re_minus	4	0.0625	0.9999700951700972	0.9999956233019736	130960.08209093273	-0.6078238357327066	-0.417225969516545	0.7372430568841196	3.9225257266470957e+56
no_lmb	GL18_bins128_re_minus_im_plus	10	8.0	0.9978084409555681	0.9943233823802338	315.22870548368303	-0.010450735689484927	0.007844548268629419	0.013067318546294447	4.7307025433576514e+36
no_lmb	GL18_bins128_re_minus_im_plus	10	4.0	0.998904220477784	0.9971616911901169	631.4574109673661	-0.020846204724611146	0.01547825574719262	0.02596421869411636	1.2206603055904787e+39
no_lmb	GL18_bins128_re_minus_im_plus	10	2.0	0.999452110238892	0.9985808455950584	1263.9148219347321	-0.041636689251924076	0.030747630607905512	0.05175935354949381	3.1372300155325296e+41
no_lmb	GL18_bins128_re_minus_im_plus	10	1.0	0.999726055119446	0.9992904227975292	2528.8296438694642	-0.083217437269459	0.06128735384359666	0.10335028595435315	8.047136307875382e+43
no_lmb	GL18_bins128_re_minus_im_plus	10	0.5	0.999863027559723	0.9996452113987646	5058.6592877389285	-0.16637882420054048	0.12236728546687525	0.206532480968215	2.0620949080104038e+46
no_lmb	GL18_bins128_re_minus_im_plus	10	0.25	0.9999315137798614	0.9998226056993823	10118.31857547194	-0.3327015438664429	0.2445273908887712	0.41289703581641823	5.2815601642975464e+48
no_lmb	GL18_bins128_re_minus_im_plus	10	0.125	0.9999657568899307	0.9999113028496911	20237.63715094035	-0.6653469561872442	0.48884772271807597	0.8256262278502782	1.352411929600265e+51
no_lmb	GL18_bins128_re_minus_im_plus	10	0.0625	0.9999828784449654	0.9999556514248455	40476.2743018807	-1.3306377673368823	0.9774884468595981	1.6510846530712084	3.4626002300586635e+53
no_lmb	GL14_bins128_im_minus	7	8.0	0.9942848629014955	0.9988316414978806	514.437803064402	0.0005706067440564413	-0.001456872693202819	0.001564630979037143	5.711397540247004e+37
no_lmb	GL14_bins128_im_minus	7	4.0	0.9971424314507478	0.9994158207489403	1029.875606128804	0.0011406518540240075	-0.0029034292815218444	0.0031194531964571707	1.4722547057608434e+40
no_lmb	GL14_bins128_im_minus	7	2.0	0.9985712157253739	0.9997079103744702	2060.751212257608	0.002280729209501891	-0.005796585312839003	0.006229135334546518	3.781990428451858e+42
no_lmb	GL14_bins128_im_minus	7	1.0	0.9992856078626869	0.9998539551872351	4122.502424515216	0.00456087754031422	-0.01158291870178395	0.012448518369263029	9.698586648779306e+44
no_lmb	GL14_bins128_im_minus	7	0.5	0.9996428039313434	0.9999269775936175	8246.00484902501	0.009121171026447031	-0.02315559611771221	0.02488729379543516	2.484976418593825e+47
no_lmb	GL14_bins128_im_minus	7	0.25	0.9998214019656717	0.9999634887968087	16493.00969805002	0.01824175640611072	-0.0463009562623097	0.04976484931740673	6.36427770691768e+49
no_lmb	GL14_bins128_im_minus	7	0.125	0.9999107009828359	0.9999817443984044	32987.01939610004	0.03648292639321189	-0.09259167920552129	0.09951996270251853	1.629605639108542e+52
no_lmb	GL14_bins128_im_minus	7	0.0625	0.9999553504914179	0.9999908721992022	65975.03879253322	0.07296526594985016	-0.1851731264211212	0.19903019063374505	4.1722391816774216e+54
no_lmb	GL06_prob1000_re_plus_im_plus	4	8.0	0.9990793663409665	0.9996466717628181	1957.2189424459768	0.0009574973804275446	-0.0023735779189927686	0.0025594283289546616	1.0256035185859069e+43
no_lmb	GL06_prob1000_re_plus_im_plus	4	4.0	0.9995396831704833	0.999823335881409	3915.4378848919537	0.0019206038738241386	-0.004751005796972652	0.005124526838939965	2.6288939019144502e+45
no_lmb	GL06_prob1000_re_plus_im_plus	4	2.0	0.9997698415852416	0.9999116679407045	7831.875769783907	0.0038468062443636794	-0.009505852971080536	0.01025471398867253	6.7342578443981054e+47
no_lmb	GL06_prob1000_re_plus_im_plus	4	1.0	0.9998849207926208	0.9999558339703523	15664.751539567815	0.007699205686193456	-0.019015543031509388	0.020515083353023426	1.7245192422561031e+50
no_lmb	GL06_prob1000_re_plus_im_plus	4	0.5	0.9999424603963104	0.9999779169851761	31330.50307913563	0.015404001937320588	-0.03803492101562962	0.041035819625665576	4.415472397453225e+52
no_lmb	GL06_prob1000_re_plus_im_plus	4	0.25	0.9999712301981551	0.9999889584925881	62662.006158237724	0.030813593070031606	-0.07607367593175192	0.0820772909375956	1.1304509428405329e+55
no_lmb	GL06_prob1000_re_plus_im_plus	4	0.125	0.9999856150990776	0.999994479246294	125325.01231647545	0.061632774286932805	-0.15215118479353779	0.16416023239622102	2.89406963014054e+57
no_lmb	GL06_prob1000_re_plus_im_plus	4	0.0625	0.9999928075495388	0.999997239623147	250651.0246329509	0.12327113816296194	-0.30430620411946985	0.32832611740401113	7.408965733324158e+59
