mode	label	graph	scale	x0	x3	mean_radius	re	im	abs	jacobian
no_lmb	GL18_re_plus_80M	10	8.0	0.9997905911427463	0.9997104349591455	4113.401379107589	0.05623627908225872	0.056671023151554006	0.07983811088735542	8.506464555648617e+45
no_lmb	GL18_re_plus_80M	10	4.0	0.9998952955713731	0.9998552174795727	8227.802758215177	0.11240535286409262	0.11332847671972217	0.159619256319887	2.1787419990607044e+48
no_lmb	GL18_re_plus_80M	10	2.0	0.9999476477856866	0.9999276087397864	16456.605516430354	0.2247435320565684	0.2266433666191413	0.3191815640567611	5.578971358086577e+50
no_lmb	GL18_re_plus_80M	10	1.0	0.9999738238928433	0.9999638043698932	32914.21103286071	0.44941990625842015	0.45327313783002815	0.6383061879847374	1.4283948480430382e+53
no_lmb	GL18_re_plus_80M	10	0.5	0.9999869119464216	0.9999819021849465	65829.42206563668	0.8987726625031864	0.906532675956808	1.2765554400183634	3.65691889768933e+55
no_lmb	GL18_re_plus_80M	10	0.25	0.9999934559732109	0.9999909510924733	131659.84413192148	1.7974781790823455	1.813051749691625	2.5530539460295483	9.362004339589753e+57
no_lmb	GL18_re_plus_80M	10	0.125	0.9999967279866054	0.9999954755462367	263320.68826519884	3.5948892150821505	3.6260898993938304	5.106050962064511	2.3967104827345258e+60
no_lmb	GL18_re_plus_80M	10	0.0625	0.9999983639933027	0.9999977377731183	526642.3765146042	7.1897112855006595	7.252166187703347	10.212044985355442	6.135626670534234e+62
no_lmb	GL01_re_minus_80M	1	8.0	0.9979494808224381	0.9985627136731656	590.718480857701	0.00026847841520799277	-0.002473217738376543	0.0024877473024511507	1.515257849710959e+39
no_lmb	GL01_re_minus_80M	1	4.0	0.998974740411219	0.9992813568365828	1182.436961715402	0.000500532215822587	-0.005017104201356463	0.005042010220769584	3.892631456481268e+41
no_lmb	GL01_re_minus_80M	1	2.0	0.9994873702056095	0.9996406784182914	2365.873923430804	0.0009647866633883112	-0.010104441884666507	0.01015039699255427	9.982541664342994e+43
no_lmb	GL01_re_minus_80M	1	1.0	0.9997436851028048	0.9998203392091457	4732.747846861608	0.0018933688281170423	-0.020278900414300617	0.020367097179824302	2.5577606883816567e+46
no_lmb	GL01_re_minus_80M	1	0.5	0.9998718425514024	0.9999101696045729	9466.495693726656	0.0037505697511133486	-0.04062770924730017	0.04080045995011731	6.550723177077925e+48
no_lmb	GL01_re_minus_80M	1	0.25	0.9999359212757012	0.9999550848022865	18933.991387453312	0.007464989885520836	-0.08132527286525906	0.08166716647833308	1.6773507663689266e+51
no_lmb	GL01_re_minus_80M	1	0.125	0.9999679606378507	0.9999775424011432	37868.98277493366	0.014893839254004325	-0.16272037302105208	0.16340056990058038	4.294486029023487e+53
no_lmb	GL01_re_minus_80M	1	0.0625	0.9999839803189253	0.9999887712005716	75738.96554986732	0.029751542687398328	-0.32551055949477814	0.3268673716278264	1.0994483396529898e+56
no_lmb	GL03_im_plus_80M	2	8.0	0.9988104543377876	0.9997585980068706	2490.562481572587	-0.0170084739757981	0.04384363344540887	0.047027145147040095	1.688168662037282e+43
no_lmb	GL03_im_plus_80M	2	4.0	0.9994052271688938	0.9998792990034353	4982.124963145174	-0.034000888821654335	0.08762450549558455	0.09398996969894301	4.327905131343892e+45
no_lmb	GL03_im_plus_80M	2	2.0	0.9997026135844469	0.9999396495017177	9965.249926290348	-0.06798572788415466	0.17518630226454254	0.18791567177077592	1.108737008418676e+48
no_lmb	GL03_im_plus_80M	2	1.0	0.9998513067922234	0.9999698247508588	19931.499852580695	-0.13595541074523187	0.3503099221248702	0.37576710240524963	2.8393825078864354e+50
no_lmb	GL03_im_plus_80M	2	0.5	0.9999256533961117	0.9999849123754294	39863.99970516139	-0.2718947787084109	0.7005571749807408	0.751469976849303	7.270119624486611e+52
no_lmb	GL03_im_plus_80M	2	0.25	0.9999628266980558	0.9999924561877147	79728.9994103027	-0.5437735158424998	1.4010516872734258	1.502875732368923	1.8613170899053922e+55
no_lmb	GL03_im_plus_80M	2	0.125	0.9999814133490279	0.9999962280938574	159458.9988206054	-1.0875309900462287	2.802040714878437	3.0056872462296194	4.7651848358501165e+57
no_lmb	GL03_im_plus_80M	2	0.0625	0.999990706674514	0.9999981140469287	318918.9976490143	-2.1750459405990292	5.604018773977739	6.011310278367876	1.2199145936755452e+60
no_lmb	GL17_im_minus_80M	9	8.0	0.9979407690582649	0.9999509714757515	10439.954106128009	-0.002471762194605571	-0.008164827204131187	0.00853076852458218	1.1033128955982648e+45
no_lmb	GL17_im_minus_80M	9	4.0	0.9989703845291324	0.9999754857378758	20880.908212256018	-0.004938290920205011	-0.016312249395412946	0.017043362272472214	2.83045105432553e+47
no_lmb	GL17_im_minus_80M	9	2.0	0.9994851922645662	0.9999877428689379	41762.816424512035	-0.009871356472010874	-0.032607120310257746	0.03406857750956348	7.253602677685958e+49
no_lmb	GL17_im_minus_80M	9	1.0	0.9997425961322831	0.9999938714344689	83526.63284902407	-0.019737491617361328	-0.06519687538208596	0.06811902182894772	1.857901631606305e+52
no_lmb	GL17_im_minus_80M	9	0.5	0.9998712980661415	0.9999969357172345	167054.26569804648	-0.03946976391587102	-0.13037639214306665	0.1362199173829484	4.757481999054273e+54
no_lmb	GL17_im_minus_80M	9	0.25	0.9999356490330708	0.9999984678586172	334109.53139609296	-0.07893430956866225	-0.26073542903570945	0.2724217120229533	1.2180758975770477e+57
no_lmb	GL17_im_minus_80M	9	0.125	0.9999678245165354	0.9999992339293087	668220.0628395075	-0.1578634015361273	-0.5214535051334588	0.5448253037080112	3.118479756784975e+59
no_lmb	GL17_im_minus_80M	9	0.0625	0.9999839122582677	0.9999996169646543	1336441.1256789076	1.076577036394665	-0.8345706902871951	1.3621770635195576	7.983571170372072e+61
ose	GL18_re_plus_80M	10	8.0	0.9997905911427463	0.9997104349591455	4113.401379107589	0.030942140956482494	0.03275475104916677	0.0450587372577586	8.506464555648617e+45
ose	GL18_re_plus_80M	10	4.0	0.9998952955713731	0.9998552174795727	8227.802758215177	0.061848429651193616	0.06549329009416083	0.0900810706956603	2.1787419990607044e+48
ose	GL18_re_plus_80M	10	2.0	0.9999476477856866	0.9999276087397864	16456.605516430354	0.12366102273171273	0.13097036840150017	0.18012575035868095	5.578971358086577e+50
ose	GL18_re_plus_80M	10	1.0	0.9999738238928433	0.9999638043698932	32914.21103286071	0.2472862167331495	0.2619245251231736	0.36021511607259654	1.4283948480430382e+53
ose	GL18_re_plus_80M	10	0.5	0.9999869119464216	0.9999819021849465	65829.42206563668	0.49453660866324217	0.52383283858598	0.7203938506741893	3.65691889768933e+55
ose	GL18_re_plus_80M	10	0.25	0.9999934559732109	0.9999909510924733	131659.84413192148	0.9890373944624814	1.0476494656128317	1.440751321513878	9.362004339589753e+57
ose	GL18_re_plus_80M	10	0.125	0.9999967279866054	0.9999954755462367	263320.68826519884	1.9780389672369176	2.0952827195631833	2.88146626404124	2.3967104827345258e+60
ose	GL18_re_plus_80M	10	0.0625	0.9999983639933027	0.9999977377731183	526642.3765146042	3.956042112698938	4.1905492274873835	5.762896149111364	6.135626670534234e+62
ose	GL01_re_minus_80M	1	8.0	0.9979494808224381	0.9985627136731656	590.718480857701	-0.003183123638056255	-0.0008025955527825297	0.0032827481957193707	1.515257849710959e+39
ose	GL01_re_minus_80M	1	4.0	0.998974740411219	0.9992813568365828	1182.436961715402	-0.006406430040144685	-0.0016220585912426976	0.006608586833256598	3.892631456481268e+41
ose	GL01_re_minus_80M	1	2.0	0.9994873702056095	0.9996406784182914	2365.873923430804	-0.012852816886839178	-0.003260818347770939	0.013260008982794013	9.982541664342994e+43
ose	GL01_re_minus_80M	1	1.0	0.9997436851028048	0.9998203392091457	4732.747846861608	-0.0257454779991789	-0.0065382550866043545	0.02656272608343715	2.5577606883816567e+46
ose	GL01_re_minus_80M	1	0.5	0.9998718425514024	0.9999101696045729	9466.495693726656	-0.05153074403834607	-0.013093087272962706	0.05316809678259094	6.550723177077925e+48
ose	GL01_re_minus_80M	1	0.25	0.9999359212757012	0.9999550848022865	18933.991387453312	-0.103101248027642	-0.026202731025462143	0.10637880643271981	1.6773507663689266e+51
ose	GL01_re_minus_80M	1	0.125	0.9999679606378507	0.9999775424011432	37868.98277493366	-0.2062422419675391	-0.052422008206419915	0.21280020985936762	4.294486029023487e+53
ose	GL01_re_minus_80M	1	0.0625	0.9999839803189253	0.9999887712005716	75738.96554986732	-0.41252422284835094	-0.10486055746090342	0.42564300880861106	1.0994483396529898e+56
ose	GL03_im_plus_80M	2	8.0	0.9988104543377876	0.9997585980068706	2490.562481572587	-0.009881918200082112	0.03689230973692347	0.03819286353545925	1.688168662037282e+43
