probe	source	graph_group	lmb_channel	event_graph_id	event_graph_name	event_weight_re	event_weight_im	event_weight_abs	rank	weight_key	kind	esurface_id	edge_ids	raw_re	raw_im	raw_abs	weighted_re	weighted_im	weighted_abs
highstat_iter_0001_imag_plus_exact_highstat_max	im[+] +8.91083940e+01	0	14	5	GL06_isr_p2_ct	-0.5480632897261676	0.7022300383461741	0.8907863920722736	1	threshold_counterterm:36:0	threshold_counterterm	36	9,14,16	-7.607252381305567e-22	9.844412461485693e-22	1.2441171387965604e-21	-0.32129709679501156	0.41578496216332334	0.525460711347727
highstat_iter_0001_imag_plus_exact_highstat_max	im[+] +8.91083940e+01	0	14	5	GL06_isr_p2_ct	-0.5480632897261676	0.7022300383461741	0.8907863920722736	2	threshold_counterterm:13:0	threshold_counterterm	13	11,15	-4.405739122410646e-22	5.610322331865678e-22	7.133460161952997e-22	-0.18607916739365546	0.23695549811682473	0.3012861839276879
highstat_iter_0001_imag_plus_exact_highstat_max	im[+] +8.91083940e+01	0	14	5	GL06_isr_p2_ct	-0.5480632897261676	0.7022300383461741	0.8907863920722736	3	threshold_counterterm:40:0	threshold_counterterm	40		-9.62090081862068e-23	1.1726467224383387e-22	1.5168116762679336e-22	-0.040634480711747654	0.04952747307444564	0.06406349671890639
highstat_iter_0001_imag_plus_exact_highstat_max	im[+] +8.91083940e+01	0	14	5	GL06_isr_p2_ct	-0.5480632897261676	0.7022300383461741	0.8907863920722736	4	threshold_counterterm:25:0	threshold_counterterm	25	9,14,15	-8.084957220249276e-25	9.775541384892148e-25	1.2685729881287871e-24	-0.00034147326161566665	0.00041287614885550784	0.0005357897933818793
highstat_iter_0001_imag_plus_exact_highstat_max	im[+] +8.91083940e+01	0	14	5	GL06_isr_p2_ct	-0.5480632897261676	0.7022300383461741	0.8907863920722736	5	original	original	None		7.955467702187259e-25	-9.796952640920128e-25	1.2620211860700933e-24	0.0003360041902435964	-0.0004137804667426638	0.0005330225985068848
highstat_iter_0001_imag_plus_exact_highstat_max	im[+] +8.91083940e+01	0	14	5	GL06_isr_p2_ct	-0.5480632897261676	0.7022300383461741	0.8907863920722736	6	threshold_counterterm:3:0	threshold_counterterm	3	9,11,12	-1.1386320888656704e-25	-7.904240459511986e-26	1.3860927841282713e-25	-4.8090843596724955e-05	-3.338405753767062e-05	5.854250195817705e-05
highstat_iter_0001_imag_plus_exact_highstat_max	im[+] +8.91083940e+01	0	14	5	GL06_isr_p2_ct	-0.5480632897261676	0.7022300383461741	0.8907863920722736	7	threshold_counterterm:19:0	threshold_counterterm	19	11,13	-7.647611476261979e-27	1.0737349102726502e-26	1.318243630918335e-26	-3.2300168859620326e-06	4.534987037446593e-06	5.567685022826677e-06
highstat_iter_0001_imag_plus_exact_highstat_max	im[+] +8.91083940e+01	0	14	5	GL06_isr_p2_ct	-0.5480632897261676	0.7022300383461741	0.8907863920722736	8	threshold_counterterm:23:0	threshold_counterterm	23	10,14	7.781449712358782e-27	-6.0048337338398204e-27	9.828987119588125e-27	3.2865443081410873e-06	-2.5361793571628132e-06	4.151334631305137e-06
highstat_iter_0001_imag_plus_exact_highstat_max	im[+] +8.91083940e+01	0	14	4	GL06_isr_p1_ct	-0.5207692253525992	0.7185410351588691	0.8874129846252676	1	threshold_counterterm:15:0	threshold_counterterm	15	10,12	-6.826692107909617e-22	9.85323388256412e-22	1.1987073999967842e-21	-0.28832964190526095	0.41615754043995185	0.5062816220901626
highstat_iter_0001_imag_plus_exact_highstat_max	im[+] +8.91083940e+01	0	14	4	GL06_isr_p1_ct	-0.5207692253525992	0.7185410351588691	0.8874129846252676	2	threshold_counterterm:37:0	threshold_counterterm	37	9,10,16	-4.470421561855062e-22	5.960697906536633e-22	7.4508112627880225e-22	-0.1888110709726903	0.25175383124513107	0.3146897075985426
highstat_iter_0001_imag_plus_exact_highstat_max	im[+] +8.91083940e+01	0	14	4	GL06_isr_p1_ct	-0.5207692253525992	0.7185410351588691	0.8874129846252676	3	threshold_counterterm:3:0	threshold_counterterm	3	9,11,12	-1.0317318567480103e-22	1.199756853757475e-22	1.5823675718260698e-22	-0.04357584494747251	0.050672486549741325	0.06683229126717025
highstat_iter_0001_imag_plus_exact_highstat_max	im[+] +8.91083940e+01	0	14	4	GL06_isr_p1_ct	-0.5207692253525992	0.7185410351588691	0.8874129846252676	4	threshold_counterterm:17:0	threshold_counterterm	17	9,13,14	-7.763150485625785e-25	9.99935723490317e-25	1.2659133089342345e-24	-0.00032788155144476455	0.00042232915228181296	0.0005346664611184253
highstat_iter_0001_imag_plus_exact_highstat_max	im[+] +8.91083940e+01	0	14	4	GL06_isr_p1_ct	-0.5207692253525992	0.7185410351588691	0.8874129846252676	5	original	original	None		7.632055059233445e-25	-1.0017415087885034e-24	1.2593524902510717e-24	0.0003223446535226617	-0.00042309183707871565	0.0005318954580152826
highstat_iter_0001_imag_plus_exact_highstat_max	im[+] +8.91083940e+01	0	14	4	GL06_isr_p1_ct	-0.5207692253525992	0.7185410351588691	0.8874129846252676	6	threshold_counterterm:40:0	threshold_counterterm	40		-1.1919882715442192e-25	-8.27046004831086e-26	1.4508070628467578e-25	-5.034437558585818e-05	-3.4930809042322915e-05	6.127575028901059e-05
highstat_iter_0001_imag_plus_exact_highstat_max	im[+] +8.91083940e+01	0	14	4	GL06_isr_p1_ct	-0.5207692253525992	0.7185410351588691	0.8874129846252676	7	threshold_counterterm:22:0	threshold_counterterm	22	9,13,14	7.78144971235877e-27	-6.004833733839806e-27	9.828987119588106e-27	3.2865443081410827e-06	-2.5361793571628073e-06	4.1513346313051296e-06
highstat_iter_0001_imag_plus_exact_highstat_max	im[+] +8.91083940e+01	0	14	4	GL06_isr_p1_ct	-0.5207692253525992	0.7185410351588691	0.8874129846252676	8	threshold_counterterm:8:0	threshold_counterterm	8	9,10,13	4.0211876915924664e-27	-3.460843441248211e-27	5.3054111787726226e-27	1.6983739545062389e-06	-1.4617090302770675e-06	2.2407738347585828e-06
highstat_iter_0001_imag_plus_exact_highstat_max	im[+] +8.91083940e+01	0	14	2	GL05_isr_p2_ct	-0.25172814607899274	0.47143821075151665	0.5344352590211073	1	threshold_counterterm:19:0	threshold_counterterm	19	11,13	-3.9140647299664097e-22	6.957163581370415e-22	7.982607832551581e-22	-0.16531298968026759	0.29384018678221785	0.3371504707474645
highstat_iter_0001_imag_plus_exact_highstat_max	im[+] +8.91083940e+01	0	14	2	GL05_isr_p2_ct	-0.25172814607899274	0.47143821075151665	0.5344352590211073	2	threshold_counterterm:31:0	threshold_counterterm	31	9,10,15	-2.0463715698623173e-22	4.2089314017838785e-22	4.680036340335742e-22	-0.08642979244074624	0.17776686932666638	0.19766428319642007
highstat_iter_0001_imag_plus_exact_highstat_max	im[+] +8.91083940e+01	0	14	2	GL05_isr_p2_ct	-0.25172814607899274	0.47143821075151665	0.5344352590211073	3	threshold_counterterm:27:0	threshold_counterterm	27	12,14	-2.8532673441458154e-25	7.051088017634414e-25	7.606508842405728e-25	-0.00012050954380150725	0.0002978071445190074	0.00032126569296115693
highstat_iter_0001_imag_plus_exact_highstat_max	im[+] +8.91083940e+01	0	14	2	GL05_isr_p2_ct	-0.25172814607899274	0.47143821075151665	0.5344352590211073	4	original	original	None		2.7859698049342153e-25	-7.043776468184999e-25	7.574722086503368e-25	0.00011766718983632637	-0.00029749833662182985	0.00031992315930037585
