probe	row_index	signed_side_fraction	t	event_graph_id	event_graph_name	term_key	weighted_re	weighted_im	weighted_abs	raw_re	raw_im	raw_abs
left_rising	32	-1.3257113655901108e-06	-1.2516293534308813e-06	0	GL05	original	-8.928506796109364e-06	1.0999008489025178e-05	1.4166736439625713e-05	-1.6464440435330885e-25	2.028250907466024e-25	2.6123896593200517e-25
left_rising	32	-1.3257113655901108e-06	-1.2516293534308813e-06	0	GL05	threshold_counterterm:5:0	0.04505283629671823	0.37581892699664976	0.3785097408882525	8.307881223467961e-22	6.930216305264617e-21	6.979835738897305e-21
left_rising	32	-1.3257113655901108e-06	-1.2516293534308813e-06	0	GL05	threshold_counterterm:8:0	3.434997122646437e-08	2.29346953152209e-09	3.4426450960721324e-08	6.334240070914149e-28	4.229228173791173e-29	6.3483431685310125e-28
left_rising	32	-1.3257113655901108e-06	-1.2516293534308813e-06	0	GL05	threshold_counterterm:10:0	1.069709342427008e-07	9.835750276111168e-08	1.4531682325924383e-07	1.972576843328497e-27	1.8137425244318318e-27	2.679686800312337e-27
left_rising	32	-1.3257113655901108e-06	-1.2516293534308813e-06	0	GL05	threshold_counterterm:12:0	4.469225917004146e-07	-1.0516835381268703e-06	1.1427064659567075e-06	8.241389695152169e-27	-1.939336707214374e-26	2.1071857784786547e-26
left_rising	32	-1.3257113655901108e-06	-1.2516293534308813e-06	0	GL05	threshold_counterterm:14:0	3.905052586092387e-28	1.625408542666573e-27	1.6716600394742168e-27	7.201036765584314e-48	2.9973032159725954e-47	3.082592394961201e-47
left_rising	32	-1.3257113655901108e-06	-1.2516293534308813e-06	0	GL05	threshold_counterterm:15:0	1.7573732785527453e-08	4.61381172305775e-09	1.8169296701659853e-08	3.2406502372806634e-28	8.508010357030501e-29	3.3504740504502647e-28
left_rising	32	-1.3257113655901108e-06	-1.2516293534308813e-06	0	GL05	threshold_counterterm:16:0	-1.563283256351087e-08	6.776665882976637e-09	1.7038446362513965e-08	-2.882742282165062e-28	1.2496379778646379e-28	3.1419417787578196e-28
left_rising	32	-1.3257113655901108e-06	-1.2516293534308813e-06	0	GL05	threshold_counterterm:21:0	4.66582964340832e-19	2.670344566737975e-18	2.7108005768997653e-18	8.603932997931099e-39	4.92419730027255e-38	4.998799424095785e-38
left_rising	32	-1.3257113655901108e-06	-1.2516293534308813e-06	0	GL05	threshold_counterterm:26:0	1.2458687780174946e-07	1.296168208965287e-07	1.7978434408955316e-07	2.297420246669459e-27	2.3901739403925617e-27	3.3152784581598065e-27
