point_index	source	x2	dx2_from_root	event_graph_id	event_graph_name	term_key	edge_ids	weighted_re	weighted_im	weighted_abs	pole_scaled_re	pole_scaled_im	pole_scaled_abs	raw_re	raw_im	raw_abs
0	root_log_probe	0.9440881235200773	-2.999999999997449e-05	0	GL05	original		-8.93323759860036e-06	1.1006735693230319e-05	1.4175717428535229e-05	2.6799712795778293e-10	-3.3020207079662883e-10	4.2527152285569524e-10	-1.6473164180252965e-25	2.0296758276264996e-25	2.6140457812262987e-25
0	root_log_probe	0.9440881235200773	-2.999999999997449e-05	0	GL05	threshold_counterterm:5:0	9,12,16	0.0004908390413045978	0.004088169997114768	0.004117530435804717	-1.4725171239125414e-08	-1.2264509991333878e-07	1.235259130740365e-07	9.051222498274817e-24	7.538710889074232e-23	7.592852438720192e-23
0	root_log_probe	0.9440881235200773	-2.999999999997449e-05	0	GL05	threshold_counterterm:8:0	9,10,13	3.435424464470655e-08	2.2937360843182227e-09	3.4430732642987025e-08	-1.0306273393403203e-12	-6.881208252948818e-14	1.0329219792887325e-12	6.3350281023477405e-28	4.229719705324386e-29	6.349132723875892e-28
0	root_log_probe	0.9440881235200773	-2.999999999997449e-05	0	GL05	threshold_counterterm:10:0	9,10,16	1.0699235434958757e-07	9.834051425560706e-08	1.4532109493574896e-07	-3.2097706304848976e-12	-2.950215427665703e-12	4.3596328480687616e-12	1.9729718366706192e-27	1.813429251178696e-27	2.6797655713375308e-27
0	root_log_probe	0.9440881235200773	-2.999999999997449e-05	0	GL05	threshold_counterterm:12:0	11,13	4.469320554918523e-07	-1.05217426963858e-06	1.1431618240282745e-06	-1.340796166474417e-11	3.1565228089130565e-11	3.4294854720819076e-11	8.241564210369525e-27	-1.9402416311763298e-26	2.1080254727318224e-26
0	root_log_probe	0.9440881235200773	-2.999999999997449e-05	0	GL05	threshold_counterterm:14:0	11,16	3.907738908222361e-28	1.6253354206707983e-27	1.6716517171454912e-27	-1.1723216724657116e-32	-4.876006262008249e-32	5.01495515143221e-32	7.205990426001344e-48	2.9971683767691946e-47	3.0825770483317234e-47
0	root_log_probe	0.9440881235200773	-2.999999999997449e-05	0	GL05	threshold_counterterm:15:0	10,12	1.7599338480117743e-08	4.551580031191947e-09	1.8178382648577358e-08	-5.279801544030833e-13	-1.365474009356423e-13	5.453514794568571e-13	3.2453720059147066e-28	8.393253208123939e-29	3.3521495269351686e-28
0	root_log_probe	0.9440881235200773	-2.999999999997449e-05	0	GL05	threshold_counterterm:16:0	9,11,12	-1.563246785834293e-08	6.7767531006750935e-09	1.703814643468104e-08	4.689740357498891e-13	-2.0330259302007994e-13	5.111443930399966e-13	-2.8826750294132734e-28	1.2496540610757944e-28	3.141886471145328e-28
0	root_log_probe	0.9440881235200773	-2.999999999997449e-05	0	GL05	threshold_counterterm:21:0	13,16	4.669896247822113e-19	2.670283806037739e-18	2.7108107485476786e-18	-1.4009688743454425e-23	-8.010851418106406e-23	8.132432245636121e-23	8.611431941222951e-39	4.924085255677336e-38	4.998818180926576e-38
0	root_log_probe	0.9440881235200773	-2.999999999997449e-05	0	GL05	threshold_counterterm:26:0	9,14,16	1.2461578904777984e-07	1.296044112519518e-07	1.7979543458043037e-07	-3.7384736714302165e-12	-3.888132337555249e-12	5.393863037408325e-12	2.297953378915476e-27	2.3899451027396083e-27	3.3154829702138555e-27
