R	epsilon	W_toy
4.0513049692353820e+03	1.0000000000000000e+00	4.0513048458183644e+03
4.6869041923141922e+03	1.0000000000000000e+00	4.6869040856339689e+03
5.4222210065015915e+03	1.0000000000000000e+00	5.4222209142884585e+03
6.2728998581962496e+03	1.0000000000000000e+00	6.2728997784882995e+03
7.2570396123242163e+03	1.0000000000000000e+00	7.2570395434255997e+03
8.3955786199951199e+03	1.0000000000000000e+00	8.3955785604399625e+03
9.7127401984711778e+03	1.0000000000000000e+00	9.7127401469923989e+03
1.1236548001387515e+04	1.0000000000000000e+00	1.1236547956889863e+04
1.2999422244132476e+04	1.0000000000000000e+00	1.2999422205669229e+04
1.5038869469554102e+04	1.0000000000000000e+00	1.5038869436306923e+04
1.7398280529303658e+04	1.0000000000000000e+00	1.7398280500565186e+04
2.0127853758499383e+04	1.0000000000000000e+00	2.0127853733658187e+04
2.3285662984981966e+04	1.0000000000000000e+00	2.3285662963509527e+04
2.6938893095901753e+04	1.0000000000000000e+00	2.6938893077341228e+04
3.1165269449294301e+04	1.0000000000000000e+00	3.1165269433250800e+04
3.6054711542505058e+04	1.0000000000000000e+00	3.6054711528637243e+04
4.1711246120565243e+04	1.0000000000000000e+00	4.1711246108578067e+04
4.8255220427412787e+04	1.0000000000000000e+00	4.8255220417051212e+04
5.5825862688626999e+04	1.0000000000000000e+00	5.5825862679670579e+04
6.4584244301969913e+04	1.0000000000000000e+00	6.4584244294228083e+04
7.4716706758680826e+04	1.0000000000000000e+00	7.4716706751988881e+04
8.6438826205982783e+04	1.0000000000000000e+00	8.6438826200198338e+04
1.0000000000000000e+05	1.0000000000000000e+00	9.9999999995000006e+04
1.0000000000000000e+00	1.0000000000000001e-01	9.9503719020998926e-01
1.1568875283162823e+00	1.0000000000000001e-01	1.3295212435961976e+00
1.3383887531737571e+00	1.0000000000000001e-01	1.7754533253816294e+00
1.5483652565854986e+00	1.0000000000000001e-01	2.3692031235591826e+00
1.7912844546220039e+00	1.0000000000000001e-01	3.1584278468204467e+00
