run,slot,iteration,samples_total,samples_new,phase,result,error,absolute_result,absolute_error,absolute_estimator_variance,absolute_error_sqrt_n,chi_sq_per_dof_reported,absolute_chi_sq_per_dof_reported,max_weight_impact,absolute_max_weight_impact,largest_weight,absolute_to_signed_ratio,evaluation_count,f64_percent,quad_percent,arb_percent,nan_percent,nan_or_unstable_percent,average_evaluation_seconds,snapshot
GL638-full-explicit-release-inverse-jacobian,epem_a_tth@NNLO,1,7500,7500,re,0.0003837382219541342,0.00035628985059477704,0.0010785257712460081,0.000356099674057763,1.2680697786404508e-07,0.030839136401338122,0.0,0.0,0.6132031882411357,0.21817698512703074,1.7648212586419476,2.810576871268553,7500,99.44,0.5599999999999999,0.0,0.0,0.0,0.050501281,/common/dev/gl638_integration_validation/runs/GL638-full-explicit-release-inverse-jacobian/workspace/results/integration_result_iter_0001.json
GL638-full-explicit-release-inverse-jacobian,epem_a_tth@NNLO,1,7500,7500,im,0.00018507701698404968,0.0005072125385119881,0.0014516937704897334,0.0005069399381148135,2.569881008558509e-07,0.04390228646003397,0.0,0.0,2.182097494050935,0.2781964786079333,3.0289207122548785,7.843727947132644,7500,99.44,0.5599999999999999,0.0,0.0,0.0,0.050501281,/common/dev/gl638_integration_validation/runs/GL638-full-explicit-release-inverse-jacobian/workspace/results/integration_result_iter_0001.json
GL638-full-explicit-release-inverse-jacobian,epem_a_tth@NNLO,2,15000,7500,re,0.0003662489989843074,0.00033714719964038494,0.001107074506486506,0.00033703926230008223,1.1359546433178363e-07,0.04127871079596303,0.0013453740359269627,0.003587186951078278,0.7651781344638926,0.2531407996029907,4.203685886881207,3.0227372895398426,15000,99.52,0.48,0.0,0.0,0.0,0.050496116,/common/dev/gl638_integration_validation/runs/GL638-full-explicit-release-inverse-jacobian/workspace/results/integration_result_iter_0002.json
GL638-full-explicit-release-inverse-jacobian,epem_a_tth@NNLO,2,15000,7500,im,-0.00017285121596048971,0.00031308079760292693,0.0012920481288149514,0.00031290618053797417,9.791027781886329e-08,0.038323023984061455,0.6535185870640413,0.13014708232947125,1.1682188427868232,0.1562852365792783,3.0289207122548785,7.474914895075354,15000,99.52,0.48,0.0,0.0,0.0,0.050496116,/common/dev/gl638_integration_validation/runs/GL638-full-explicit-release-inverse-jacobian/workspace/results/integration_result_iter_0002.json
GL638-full-explicit-release-inverse-jacobian,epem_a_tth@NNLO,3,22500,7500,re,0.0002098960545324361,0.00022806554344718827,0.0009094101458208064,0.00022798923631191524,5.1979091874090334e-08,0.034198385446787286,0.7229187276643393,1.0734480795230965,0.8901095557873637,0.20544138936646605,4.203685886881207,4.332669081591868,22500,99.26222222222222,0.7377777777777778,0.0,0.0,0.0,0.050508057,/common/dev/gl638_integration_validation/runs/GL638-full-explicit-release-inverse-jacobian/workspace/results/integration_result_iter_0003.json
GL638-full-explicit-release-inverse-jacobian,epem_a_tth@NNLO,3,22500,7500,im,-8.302642245934408e-05,0.00022312668973267858,0.0011388450295660025,0.00022299816248821214,4.9728180473119065e-08,0.03344972437323182,0.7711175063088254,0.4746796553967491,1.6213958681449678,0.11820633609275207,3.0289207122548785,13.716657852187547,22500,99.26222222222222,0.7377777777777778,0.0,0.0,0.0,0.050508057,/common/dev/gl638_integration_validation/runs/GL638-full-explicit-release-inverse-jacobian/workspace/results/integration_result_iter_0003.json
GL638-full-explicit-release-inverse-jacobian,epem_a_tth@NNLO,4,30000,7500,re,0.00025379401191818373,0.00018695261593991522,0.000870447751187223,0.00018689079941742827,3.492817090688541e-08,0.03237043600581497,0.9859333529460265,0.87152019566782,0.5521125649773487,0.16097791361391142,4.203685886881207,3.4297410904550087,30000,99.24333333333333,0.7566666666666667,0.0,0.0,0.0,0.05068451,/common/dev/gl638_integration_validation/runs/GL638-full-explicit-release-inverse-jacobian/workspace/results/integration_result_iter_0004.json
GL638-full-explicit-release-inverse-jacobian,epem_a_tth@NNLO,4,30000,7500,im,0.00015663834226119946,0.00021205718289462333,0.0012625608524489396,0.00021193378587513442,4.4915929595367326e-08,0.03670800849761561,1.2809152448924446,0.6939710170320632,0.6445677494049862,0.07996764951645169,3.0289207122548785,8.060356322870035,30000,99.24333333333333,0.7566666666666667,0.0,0.0,0.0,0.05068451,/common/dev/gl638_integration_validation/runs/GL638-full-explicit-release-inverse-jacobian/workspace/results/integration_result_iter_0004.json
GL638-full-explicit-release-inverse-jacobian,epem_a_tth@NNLO,5,37500,7500,re,0.00023128367549723195,0.00015819695978616985,0.0008932365570105001,0.0001581342070479493,2.50064274386837e-08,0.03062255751812116,0.835680490874626,1.0684217876942212,0.48467878277978077,0.12549675607994004,4.203685886881207,3.862082159885039,37500,99.27733333333333,0.7226666666666667,0.0,0.0,0.0,0.05080112,/common/dev/gl638_integration_validation/runs/GL638-full-explicit-release-inverse-jacobian/workspace/results/integration_result_iter_0005.json
GL638-full-explicit-release-inverse-jacobian,epem_a_tth@NNLO,5,37500,7500,im,-3.2486839845161244e-05,0.0002425708748130119,0.001398568526764139,0.00024246339151141942,5.878849622321985e-08,0.04695283386943481,1.2059705532517904,0.75305795948967,5.055071826413333,0.11742242563576012,-6.158374081142876,43.050310015686215,37500,99.27733333333333,0.7226666666666667,0.0,0.0,0.0,0.05080112,/common/dev/gl638_integration_validation/runs/GL638-full-explicit-release-inverse-jacobian/workspace/results/integration_result_iter_0005.json
