run,slot,iteration,samples_total,samples_new,phase,result,error,absolute_result,absolute_error,absolute_estimator_variance,absolute_error_sqrt_n,chi_sq_per_dof_reported,absolute_chi_sq_per_dof_reported,max_weight_impact,absolute_max_weight_impact,largest_weight,absolute_to_signed_ratio,evaluation_count,f64_percent,quad_percent,arb_percent,nan_percent,nan_or_unstable_percent,average_evaluation_seconds,snapshot
GL638-full-explicit-release-reference,epem_a_tth@NNLO,1,5000,5000,re,0.0004262066118615433,0.0005020028877933297,0.0011313949096987033,0.0005017839923062704,2.517871749348192e-07,0.035481486365062216,0.0,0.0,0.8580492427278893,0.323234847018011,1.8285313027670833,2.6545691179146846,5000,99.44,0.5599999999999999,0.0,0.0,0.0,0.051422679,/common/dev/gl638_integration_validation/runs/GL638-full-explicit-release-reference/workspace/results/integration_result_iter_0001.json
GL638-full-explicit-release-reference,epem_a_tth@NNLO,1,5000,5000,im,0.000337707830663015,0.0007763970183739875,0.0015635187145229597,0.000776096725969932,6.023261280612476e-07,0.05487832577900166,0.0,0.0,2.122731473820803,0.45849341900768215,3.5843152055206398,4.629797039213852,5000,99.44,0.5599999999999999,0.0,0.0,0.0,0.051422679,/common/dev/gl638_integration_validation/runs/GL638-full-explicit-release-reference/workspace/results/integration_result_iter_0001.json
GL638-full-explicit-release-reference,epem_a_tth@NNLO,2,10000,5000,re,0.0001527159338722017,0.00025772853472403744,0.000856970232994014,0.00025759053343854093,6.635288291715208e-08,0.02575905334385409,0.5630351732945422,0.5674954619682264,1.1973415323493783,0.21337162393362333,1.8285313027670833,5.611531234921158,10000,99.47,0.53,0.0,0.0,0.0,0.050975048,/common/dev/gl638_integration_validation/runs/GL638-full-explicit-release-reference/workspace/results/integration_result_iter_0002.json
GL638-full-explicit-release-reference,epem_a_tth@NNLO,2,10000,5000,im,-7.391903361544072e-06,0.0004013772848811689,0.001229767250795307,0.0004011888363467368,1.6095248240924876e-07,0.040118883634673676,0.3696088358316665,0.34602327107724573,48.489746553882476,0.29146289293381455,3.5843152055206398,166.36679223826116,10000,99.47,0.53,0.0,0.0,0.0,0.050975048,/common/dev/gl638_integration_validation/runs/GL638-full-explicit-release-reference/workspace/results/integration_result_iter_0002.json
GL638-full-explicit-release-reference,epem_a_tth@NNLO,3,15000,5000,re,9.544710247096972e-05,0.00017422690929756762,0.0007193237014321108,0.00017412962384818367,3.032112590150993e-08,0.02132643637654095,0.46328121484749385,0.832577995388552,1.2771690674236598,0.16946763551436228,1.8285313027670833,7.536359751212912,15000,99.46000000000001,0.54,0.0,0.0,0.0,0.050904722,/common/dev/gl638_integration_validation/runs/GL638-full-explicit-release-reference/workspace/results/integration_result_iter_0003.json
GL638-full-explicit-release-reference,epem_a_tth@NNLO,3,15000,5000,im,0.00011745312961174964,0.0003374615495780149,0.0013125579172162754,0.00033729268542950785,1.1376635564424894e-07,0.04130974866376863,0.6084762334609684,0.46189651551962346,2.034465559364755,0.18205242138304503,3.5843152055206398,11.175163416718112,15000,99.46000000000001,0.54,0.0,0.0,0.0,0.050904722,/common/dev/gl638_integration_validation/runs/GL638-full-explicit-release-reference/workspace/results/integration_result_iter_0003.json
GL638-full-explicit-release-reference,epem_a_tth@NNLO,4,20000,5000,re,-5.501616641627487e-05,0.00016983561134357276,0.0007802147196562506,0.00016974642250895526,2.881384795458875e-08,0.024005769287647815,0.6219491025524708,0.8960934763767945,1.8856094519084174,0.13296212028401616,-2.0747800680458868,14.181553722824418,20000,99.495,0.505,0.0,0.0,0.0,0.050877505,/common/dev/gl638_integration_validation/runs/GL638-full-explicit-release-reference/workspace/results/integration_result_iter_0004.json
GL638-full-explicit-release-reference,epem_a_tth@NNLO,4,20000,5000,im,-6.936933569441306e-05,0.0003147193986666953,0.001384807163107718,0.00031456740323176723,9.895265117597724e-08,0.04448654879308514,0.5184911159947745,0.504165950498519,2.6019751652472336,0.1303410998405712,-3.609945774131225,19.962814249917187,20000,99.495,0.505,0.0,0.0,0.0,0.050877505,/common/dev/gl638_integration_validation/runs/GL638-full-explicit-release-reference/workspace/results/integration_result_iter_0004.json
GL638-full-explicit-release-reference,epem_a_tth@NNLO,5,25000,5000,re,-6.343697922532112e-05,0.0001377186494031752,0.0007288655685563057,0.0001376420601385346,1.8945336719179978e-08,0.02176312059378203,0.5158339336543808,0.7174717078186035,1.3082464476604398,0.1138635247734635,-2.0747800680458868,11.489600820484469,25000,99.53999999999999,0.45999999999999996,0.0,0.0,0.0,0.050883985,/common/dev/gl638_integration_validation/runs/GL638-full-explicit-release-reference/workspace/results/integration_result_iter_0005.json
GL638-full-explicit-release-reference,epem_a_tth@NNLO,5,25000,5000,im,-6.858988578329711e-05,0.00025398711366544436,0.0012850045509524392,0.00025385742058999395,6.444358998860509e-08,0.04013838249998532,0.5488664063006604,0.4671681204333794,2.105235040359442,0.11237145491681101,-3.609945774131225,18.734606950830663,25000,99.53999999999999,0.45999999999999996,0.0,0.0,0.0,0.050883985,/common/dev/gl638_integration_validation/runs/GL638-full-explicit-release-reference/workspace/results/integration_result_iter_0005.json
GL638-full-explicit-release-reference,epem_a_tth@NNLO,6,30000,5000,re,-4.562545972117977e-05,0.00011599310549291529,0.0006860691644775249,0.00011592575078040501,1.3438779694000573e-08,0.020078929025722888,0.5821447593925005,0.6240997981928894,1.5158057808987981,0.1008051945523565,-2.0747800680458868,15.036980858278238,30000,99.56,0.44,0.0,0.0,0.0,0.050950167,/common/dev/gl638_integration_validation/runs/GL638-full-explicit-release-reference/workspace/results/integration_result_iter_0006.json
GL638-full-explicit-release-reference,epem_a_tth@NNLO,6,30000,5000,im,-0.00015021385615794335,0.00023280846344286965,0.001253618003621791,0.00023269754145582955,5.4148145799587515e-08,0.04030439645978619,0.5328853191691678,0.39952755608694207,0.8010680830791721,0.09598739445088368,-3.609945774131225,8.34555503524033,30000,99.56,0.44,0.0,0.0,0.0,0.050950167,/common/dev/gl638_integration_validation/runs/GL638-full-explicit-release-reference/workspace/results/integration_result_iter_0006.json
GL638-full-explicit-release-reference,epem_a_tth@NNLO,7,35000,5000,re,-0.0001332795012480293,0.00011486665210863042,0.0007333355320925785,0.00011480195859420982,1.3179489697066664e-08,0.021477479819507067,0.8313843186531271,0.7609625396965762,0.44477530273225924,0.08083534469745718,-2.0747800680458868,5.50223796777167,35000,99.59714285714286,0.4028571428571428,0.0,0.0,0.0,0.050922578,/common/dev/gl638_integration_validation/runs/GL638-full-explicit-release-reference/workspace/results/integration_result_iter_0007.json
GL638-full-explicit-release-reference,epem_a_tth@NNLO,7,35000,5000,im,-0.00018799457718857873,0.00020211579532339162,0.0011903689218958052,0.0002020181137201484,4.0811318271046814e-08,0.03779412837315657,0.5826501282549577,0.3886730549368705,0.5486398032048494,0.08664650591520469,-3.609945774131225,6.331932227501102,35000,99.59714285714286,0.4028571428571428,0.0,0.0,0.0,0.050922578,/common/dev/gl638_integration_validation/runs/GL638-full-explicit-release-reference/workspace/results/integration_result_iter_0007.json
GL638-full-explicit-release-reference,epem_a_tth@NNLO,8,40000,5000,re,-0.00021460798264509554,0.00013949318787093493,0.0008055208271726724,0.00013943915843554194,1.9443278905212166e-08,0.02788783168710839,0.8394925762258294,0.7976830140762736,0.4479133679512469,0.11933370442224689,-3.8450313718315,3.7534523051958852,40000,99.6075,0.38999999999999996,0.0025,0.0,0.0025,0.050935692,/common/dev/gl638_integration_validation/runs/GL638-full-explicit-release-reference/workspace/results/integration_result_iter_0008.json
GL638-full-explicit-release-reference,epem_a_tth@NNLO,8,40000,5000,im,7.290691363774429e-05,0.0002810757843964649,0.001399086907792036,0.0002809889537598224,7.895479213503961e-08,0.05619779075196448,0.6944638480921339,0.49307243326570216,2.956230347588021,0.1540502090645791,8.621185225795145,19.190044372797608,40000,99.6075,0.38999999999999996,0.0025,0.0,0.0025,0.050935692,/common/dev/gl638_integration_validation/runs/GL638-full-explicit-release-reference/workspace/results/integration_result_iter_0008.json
GL638-full-explicit-release-reference,epem_a_tth@NNLO,9,45000,5000,re,-0.00017808342395477333,0.00012464060349209275,0.0007741707705079607,0.00012458999089984548,1.552266583242358e-08,0.026429528229975296,0.9459052482906487,0.7092690171361274,0.47980401375231585,0.11036988846813732,-3.8450313718315,4.347236555293163,45000,99.63111111111111,0.36444444444444446,0.0044444444444444444,0.0,0.0044444444444444444,0.05100146,/common/dev/gl638_integration_validation/runs/GL638-full-explicit-release-reference/workspace/results/integration_result_iter_0009.json
GL638-full-explicit-release-reference,epem_a_tth@NNLO,9,45000,5000,im,0.00010784741107006946,0.00025149693820418663,0.0013690277594797253,0.0002514146331522803,6.32093177630957e-08,0.05333309759745168,1.1421984466379365,0.494092209813644,1.7764162533497097,0.1399401090152957,8.621185225795145,12.694117975537264,45000,99.63111111111111,0.36444444444444446,0.0044444444444444444,0.0,0.0044444444444444444,0.05100146,/common/dev/gl638_integration_validation/runs/GL638-full-explicit-release-reference/workspace/results/integration_result_iter_0009.json
GL638-full-explicit-release-reference,epem_a_tth@NNLO,10,50000,5000,re,-0.00018257675059666522,0.00011347376813598875,0.0007741687423394939,0.00011342387653902187,1.2864975769139275e-08,0.025362349821279648,0.9751004189938028,0.8470273300380142,0.4211961664632375,0.09933315985380743,-3.8450313718315,4.240237269036127,50000,99.638,0.358,0.004,0.0,0.004,0.051066137,/common/dev/gl638_integration_validation/runs/GL638-full-explicit-release-reference/workspace/results/integration_result_iter_0010.json
GL638-full-explicit-release-reference,epem_a_tth@NNLO,10,50000,5000,im,9.025694984998026e-05,0.00022736465544337002,0.0013369798709017171,0.00022728637982940506,5.165909845595659e-08,0.05082277956583868,1.035676356461888,0.4591284335272093,1.910364850601481,0.1289650714035155,8.621185225795145,14.813040692422751,50000,99.638,0.358,0.004,0.0,0.004,0.051066137,/common/dev/gl638_integration_validation/runs/GL638-full-explicit-release-reference/workspace/results/integration_result_iter_0010.json
