profile,precision_mode,point_id,soft_family,ray_sign,lambda_GeV,radial_measure_power,total_re,total_im,cut0_re,cut0_im,cut1_re,cut1_im,cut2_re,cut2_im,cut3_re,cut3_im,cut4_re,cut4_im,cut5_re,cut5_im,finite,is_nan,final_status,final_precision,estimated_relative_accuracy,precision_history_json,cut_sum_residual_re,cut_sum_residual_im,source_result,source_result_sha256
candidate,arb,12,q14,1,1.0,2,-7.761208253273947e-36,-1.9236153021000028e-35,5.5777146377585714e-42,-4.463345448775221e-35,-6.615629814275128e-36,-2.0064301907593052e-35,0.0,4.4219669149626206e-35,5.725426760510179e-34,-3.6814637274404934e-34,3.515345256466569e-40,7.028279726956738e-38,-5.73688611602257e-34,3.693180241714988e-34,True,False,Stable,Arb,3.5091184789012964e-293,"[{""precision"":""Arb"",""status"":{""Stable"":2},""estimated_relative_accuracy"":3.5091184789012964e-293}]",1.0691058840368783e-50,1.3363823550460978e-50,evaluation/candidate-arb-point-00012.json,e48df3f7826d82aa98dd1cc74d8829de86572809d541cf1a41d09466d641d7dc
candidate,arb,13,q14,1,0.1,2,-7.809469822750816e-35,4.844710714157772e-36,5.98024855168065e-42,-4.48659945013427e-33,-6.643932053130006e-35,-3.356822900948383e-36,0.0,4.4824278574508484e-33,5.792389927348685e-32,-3.7242622321284543e-32,3.590834704846953e-40,7.063158928121604e-37,-5.793555501624677e-32,3.7254289131690254e-32,True,False,Stable,Arb,2.0175478764349146e-291,"[{""precision"":""Arb"",""status"":{""Stable"":2},""estimated_relative_accuracy"":2.0175478764349146e-291}]",3.645651064565755e-48,-4.292460124408066e-48,evaluation/candidate-arb-point-00013.json,d00bfe25c1b5c72a889b9a403f361696bd494012434f82596ba7fa566b9fc85e
candidate,arb,14,q14,1,0.01,2,-7.814631081702929e-34,2.5832561299740165e-34,6.021782450417828e-42,-4.488938611925938e-31,-6.647090920276093e-34,1.763903775079323e-34,0.0,4.488521112197967e-31,5.799149348263097e-30,-3.728563425137401e-30,3.5984110814683307e-40,7.066672769887661e-36,-5.799266102645102e-30,3.728680043672918e-30,True,False,Stable,Arb,4.447745258178904e-287,"[{""precision"":""Arb"",""status"":{""Stable"":2},""estimated_relative_accuracy"":4.447745258178904e-287}]",5.366056253157899e-46,9.848603403747723e-47,evaluation/candidate-arb-point-00014.json,f124e4d51e83469a85b2d5aead2b71416f19114fb74aa234b5f6d439910808bc
candidate,arb,15,q14,1,0.001,2,-7.815150824445325e-33,2.794468626185205e-33,6.025948841529122e-42,-4.48917266540612e-29,-6.647410360334215e-33,1.9751963834074387e-33,0.0,4.4891309120256467e-29,5.799825925525806e-28,-3.7289937600802756e-28,3.5991689871310435e-40,7.067024413727919e-35,-5.799837602934107e-28,3.7290054214383093e-28,True,False,Stable,Arb,6.347920213557775e-286,"[{""precision"":""Arb"",""status"":{""Stable"":2},""estimated_relative_accuracy"":6.347920213557775e-286}]",-4.690655025552906e-44,3.709540832195799e-45,evaluation/candidate-arb-point-00015.json,91cd6c99400312c7840df0d0094a911eb6d2dc09530fc8c3f1fd5da2eb34f89a
candidate,arb,16,both,-1,1.0,5,-1.8067061282869065e-35,2.829350669669615e-34,6.1455304257330555e-31,-9.204986695773172e-27,-1.8799853170606415e-30,3.892491071276081e-26,0.0,2.26359752801875e-27,8.998664516321853e-31,-1.3445440893614898e-26,3.640784601801235e-31,-4.2008997634726727e-26,1.4692956137444142e-33,2.3470917266270307e-26,True,False,Stable,Arb,1.9929775963505002e-290,"[{""precision"":""Arb"",""status"":{""Stable"":2},""estimated_relative_accuracy"":1.9929775963505002e-290}]",1.5200280182765326e-46,8.896829752272124e-43,evaluation/candidate-arb-point-00016.json,fba24d8266b5b6d3ddccfac0cda2018a3fb27097c74e68f1553bd6cc4891e7b8
candidate,arb,17,both,-1,0.1,5,-2.7260632244908094e-34,-1.2224665618486924e-33,6.175155159193589e-28,-9.237366353391609e-22,-1.8841112381957524e-27,3.892602489199141e-21,-5e-324,2.259918019906295e-22,9.03656336447504e-28,-1.351431557322806e-21,3.62792158226135e-28,-4.173665408687747e-21,1.4695499643194353e-31,2.330239310158721e-21,True,False,Stable,Arb,1.6361100000251874e-284,"[{""precision"":""Arb"",""status"":{""Stable"":2},""estimated_relative_accuracy"":1.6361100000251874e-284}]",-8.094149330960772e-44,-4.756300648656835e-38,evaluation/candidate-arb-point-00017.json,f1fcab45aab0d6d616e8ed8671ff984b0f9b3a7a493056fdebec21dd0583fd6a
candidate,arb,18,both,-1,0.01,5,-2.8214139802195825e-33,-4.42058393423803e-31,6.178097514747888e-25,-9.240599322086435e-17,-1.884514482278771e-24,3.892619935696078e-16,-3.0217e-319,2.2595272247399735e-17,9.040287738659598e-25,-1.3521244061708298e-16,3.6266125843786176e-25,-4.1709399408870996e-16,1.4695678746725527e-29,2.328551621096493e-16,True,False,Stable,Arb,7.699771474792742e-282,"[{""precision"":""Arb"",""status"":{""Stable"":2},""estimated_relative_accuracy"":7.699771474792742e-282}]",3.929292587374492e-41,7.568597970042556e-33,evaluation/candidate-arb-point-00018.json,29ce85a648247e47805c2d63f20c64cf1d00bceaef96cd406c0d1301e6ac4450
candidate,arb,19,both,-1,0.001,5,-2.8309889549595193e-32,-4.742991746068928e-29,6.178391546710162e-22,-9.240922568186519e-12,-1.88455472190299e-21,3.892621743898572e-11,8.15396887e-315,2.259487916206647e-12,9.040659517993305e-22,-1.3521937323752426e-11,3.626481458347431e-22,-4.1706673745253584e-11,1.4695695902985635e-27,2.3283828282000158e-11,True,False,Stable,Arb,2.526520704674754e-277,"[{""precision"":""Arb"",""status"":{""Stable"":2},""estimated_relative_accuracy"":2.526520704674754e-277}]",-6.449882817521411e-38,-1.1642604329587848e-27,evaluation/candidate-arb-point-00019.json,db963c8bb5a760963e17bc8cef4c8c82c2d3c2c6ba9f2efd7800c5fa6cf70da7
candidate,arb,20,both,1,1.0,5,-2.1998205287424106e-34,5.749715067678785e-34,3.5955582617527173e-31,-2.7627059132755364e-26,9.084083784621637e-31,-2.642808546925602e-26,0.0,2.260995253874582e-26,-1.88973408472812e-30,1.4434488717620988e-25,6.140092115118127e-31,7.02501299211317e-26,7.540686525997613e-33,-1.8314982445910453e-25,True,False,Stable,Arb,4.0033230082817685e-290,"[{""precision"":""Arb"",""status"":{""Stable"":2},""estimated_relative_accuracy"":4.0033230082817685e-290}]",8.386066554385273e-47,-1.2055457414455714e-41,evaluation/candidate-arb-point-00020.json,46d76ee279a1f830f16e15a7537a0c7e557241a7c544ba0ddc29d37f5de0a781
candidate,arb,21,both,1,0.1,5,-2.2680423759323984e-33,1.59314549896582e-33,3.6234277454931215e-28,-2.797922112622624e-21,9.04527062388161e-28,-2.6448246457655714e-21,0.0,2.288756984374613e-21,-1.88509533498122e-27,1.4547723477698792e-20,6.1746460707563585e-28,7.097417719181456e-21,7.586229257352207e-31,-1.8491151422865073e-20,True,False,Stable,Arb,4.2459095743031905e-285,"[{""precision"":""Arb"",""status"":{""Stable"":2},""estimated_relative_accuracy"":4.2459095743031905e-285}]",1.3968065090424477e-43,6.367616530704534e-37,evaluation/candidate-arb-point-00021.json,9bb953520c129233450d161e00c6c04f78f62fa2c1fc3024ba73dab66980e16b
