run,slot,iteration,samples_total,samples_new,phase,result,error,absolute_result,absolute_error,absolute_estimator_variance,absolute_error_sqrt_n,chi_sq_per_dof_reported,absolute_chi_sq_per_dof_reported,max_weight_impact,absolute_max_weight_impact,largest_weight,absolute_to_signed_ratio,evaluation_count,f64_percent,quad_percent,arb_percent,nan_percent,nan_or_unstable_percent,average_evaluation_seconds,snapshot
GL638-full-explicit-release-b03-inverse-jacobian-20core-45min,epem_a_tth@NNLO,1,75000,75000,re,6.755745885075217e-05,0.0001612073948805093,0.0008278074249239228,0.00016117924192704988,2.5978748028178473e-08,0.04414075330251383,0.0,0.0,1.5681792679284103,0.1279792898371412,-7.945665477275718,12.25338310537573,75000,99.43866666666666,0.5559999999999999,0.005333333333333333,0.0,0.005333333333333333,0.109466537,/common/dev/gl638_integration_validation/runs/GL638-full-explicit-release-b03-inverse-jacobian-20core-45min/workspace/results/integration_result_iter_0001.json
GL638-full-explicit-release-b03-inverse-jacobian-20core-45min,epem_a_tth@NNLO,1,75000,75000,im,6.185706585330965e-05,0.0003055770083008781,0.0014904586278643357,0.00030552862233545114,9.334773906619874e-08,0.08367245920830166,0.0,0.0,3.0400838694334356,0.12616966656805798,14.103800108334632,24.095204117810397,75000,99.43866666666666,0.5559999999999999,0.005333333333333333,0.0,0.005333333333333333,0.109466537,/common/dev/gl638_integration_validation/runs/GL638-full-explicit-release-b03-inverse-jacobian-20core-45min/workspace/results/integration_result_iter_0001.json
GL638-full-explicit-release-b03-inverse-jacobian-20core-45min,epem_a_tth@NNLO,2,150000,75000,re,-6.773674134339676e-06,9.00627149020026e-05,0.0008064103638039769,9.003864489579572e-05,8.106957574671201e-09,0.03487181721965003,0.3405810792775491,0.028236939719834986,7.820143415712446,0.06568752778915722,-7.945665477275718,119.05065815254027,150000,99.59333333333333,0.402,0.004666666666666666,0.0,0.004666666666666666,0.110822846,/common/dev/gl638_integration_validation/runs/GL638-full-explicit-release-b03-inverse-jacobian-20core-45min/workspace/results/integration_result_iter_0002.json
GL638-full-explicit-release-b03-inverse-jacobian-20core-45min,epem_a_tth@NNLO,2,150000,75000,im,3.6994649817094406e-05,0.00016424480792767812,0.00134596269690239,0.0001642080647762517,2.696428853756167e-08,0.06359751001913715,0.011456990026542432,0.3871610152495766,2.541592757883525,0.06985731051236035,14.103800108334632,36.38263109819871,150000,99.59333333333333,0.402,0.004666666666666666,0.0,0.004666666666666666,0.110822846,/common/dev/gl638_integration_validation/runs/GL638-full-explicit-release-b03-inverse-jacobian-20core-45min/workspace/results/integration_result_iter_0002.json
GL638-full-explicit-release-b03-inverse-jacobian-20core-45min,epem_a_tth@NNLO,3,225000,75000,re,8.6700776615492e-06,6.684042197425928e-05,0.0007520028524628487,6.682162047151845e-05,4.465128962439653e-09,0.03169627764499992,0.44078987811269893,0.6017058803380024,4.073097170110243,0.04696001972896333,-7.945665477275718,86.73542288991193,225000,99.65066666666667,0.3448888888888889,0.0044444444444444444,0.0,0.0044444444444444444,0.111050857,/common/dev/gl638_integration_validation/runs/GL638-full-explicit-release-b03-inverse-jacobian-20core-45min/workspace/results/integration_result_iter_0003.json
GL638-full-explicit-release-b03-inverse-jacobian-20core-45min,epem_a_tth@NNLO,3,225000,75000,im,2.6281574283448088e-05,0.00012705623096495255,0.0013205728987369224,0.00012702573809660145,1.6135538138986385e-08,0.060253598077392334,0.008940535276716744,0.2638984119744734,2.3850761511086636,0.04746694112608038,14.103800108334632,50.24710028761892,225000,99.65066666666667,0.3448888888888889,0.0044444444444444444,0.0,0.0044444444444444444,0.111050857,/common/dev/gl638_integration_validation/runs/GL638-full-explicit-release-b03-inverse-jacobian-20core-45min/workspace/results/integration_result_iter_0003.json
GL638-full-explicit-release-b03-inverse-jacobian-20core-45min,epem_a_tth@NNLO,4,300000,75000,re,-2.0766738095466505e-05,5.149183518697348e-05,0.0007466224626258163,5.1473802773052324e-05,2.649552371919089e-09,0.028193362899372732,0.7457585672991145,0.4516883853235374,1.2753833302641304,0.03547382099618503,-7.945665477275718,35.95280391140524,300000,99.65866666666666,0.3373333333333333,0.004,0.0,0.004,0.111239808,/common/dev/gl638_integration_validation/runs/GL638-full-explicit-release-b03-inverse-jacobian-20core-45min/workspace/results/integration_result_iter_0004.json
GL638-full-explicit-release-b03-inverse-jacobian-20core-45min,epem_a_tth@NNLO,4,300000,75000,im,6.13719609591219e-05,0.00010874006321100707,0.0013376016792881861,0.00010871269454321497,1.1818449954846363e-08,0.05954439508848763,0.11410314696610263,0.2911343443753456,0.7660284320896295,0.03514698565031723,14.103800108334632,21.79499658124211,300000,99.65866666666666,0.3373333333333333,0.004,0.0,0.004,0.111239808,/common/dev/gl638_integration_validation/runs/GL638-full-explicit-release-b03-inverse-jacobian-20core-45min/workspace/results/integration_result_iter_0004.json
