point,mode,source_batch,result_re,result_im,is_nan,final_precision,final_status,estimated_relative_accuracy,precision_history,primary_cut_weights,evaluation_seconds,raw_output_sha256
ap_equal,arb_z,AP48,0.0,0.0,True,Arb,"{""Unstable"":2}",,"[{""precision"":""Arb"",""status"":{""Unstable"":2},""estimated_relative_accuracy"":null}]","{""3"":{""re"":-4.289737549986586e-43,""im"":6.178640250968247e-44},""4"":{""re"":4.5170733257255984e-45,""im"":-4.817856700181455e-45},""1"":{""re"":null,""im"":null},""0"":{""re"":3.3630716109635333e-44,""im"":-2.1823754808361572e-44},""5"":{""re"":5.4538802284028284e-46,""im"":1.5201767490231868e-46},""2"":{""re"":0.0,""im"":1.9300426612060188e-47}}",2.111138929,ecf0ab3c6edeefb39aebf65316744a35322d4e68b2be668e857b45be8bce8506
ap_equal,arb_euler,AP48,0.0,0.0,True,Arb,"{""Unstable"":2}",,"[{""precision"":""Arb"",""status"":{""Unstable"":2},""estimated_relative_accuracy"":null}]","{""3"":{""re"":-4.289737549986586e-43,""im"":6.178640250968247e-44},""4"":{""re"":4.5170733257255984e-45,""im"":-4.817856700181455e-45},""1"":{""re"":null,""im"":null},""0"":{""re"":3.3630716109635333e-44,""im"":-2.1823754808361572e-44},""5"":{""re"":5.4538802284028284e-46,""im"":1.5201767490231868e-46},""2"":{""re"":0.0,""im"":1.9300426612060188e-47}}",2.457150413,4d976a6e78b0b1fc0147a45eb81ff43206bb8cee6c0ca9b8c9fa254b95795347
ap_equal,arb_euler_components,AP48,0.0,0.0,True,Arb,"{""Unstable"":2}",,"[{""precision"":""Arb"",""status"":{""Unstable"":2},""estimated_relative_accuracy"":null}]","{""3"":{""re"":-4.289737549986586e-43,""im"":6.178640250968247e-44},""4"":{""re"":4.5170733257255984e-45,""im"":-4.817856700181455e-45},""1"":{""re"":null,""im"":null},""0"":{""re"":3.3630716109635333e-44,""im"":-2.1823754808361572e-44},""5"":{""re"":5.4538802284028284e-46,""im"":1.5201767490231868e-46},""2"":{""re"":0.0,""im"":1.9300426612060188e-47}}",2.47946854,0660513a3a9a0f2c13ba39f32ba0371c85c7ab042a12362d75d37a08ce0e5b42
ap_equal,arb_euler3_components,AP48,0.0,0.0,True,Arb,"{""Unstable"":4}",,"[{""precision"":""Arb"",""status"":{""Unstable"":4},""estimated_relative_accuracy"":null}]","{""3"":{""re"":-4.289737549986586e-43,""im"":6.178640250968247e-44},""4"":{""re"":4.5170733257255984e-45,""im"":-4.817856700181455e-45},""1"":{""re"":null,""im"":null},""0"":{""re"":3.3630716109635333e-44,""im"":-2.1823754808361572e-44},""5"":{""re"":5.4538802284028284e-46,""im"":1.5201767490231868e-46},""2"":{""re"":0.0,""im"":1.9300426612060188e-47}}",5.311078541,1a3b64505cd1cacec8e90ab7606a2f43fe2c52795bbafde57da5d0392e56a4cc
ap_equal,euler_exact_zero_escalation,AP48,0.0,0.0,True,Arb,"{""Unstable"":2}",,"[{""precision"":""Double"",""status"":{""Unstable"":2},""estimated_relative_accuracy"":null},{""precision"":""Quad"",""status"":{""Unstable"":2},""estimated_relative_accuracy"":0.6893667861409797},{""precision"":""Arb"",""status"":{""Unstable"":2},""estimated_relative_accuracy"":null}]","{""3"":{""re"":-4.289737549986586e-43,""im"":6.178640250968247e-44},""4"":{""re"":4.5170733257255984e-45,""im"":-4.817856700181455e-45},""1"":{""re"":null,""im"":null},""0"":{""re"":3.3630716109635333e-44,""im"":-2.1823754808361572e-44},""5"":{""re"":5.4538802284028284e-46,""im"":1.5201767490231868e-46},""2"":{""re"":0.0,""im"":1.9300426612060188e-47}}",2.71256005,c9d4c53484b3d7e651724c2e6806be740b25ea7d5d1a24a32ce9c6c9e701f0df
ap_equal,euler_norm_trigger_quad,AP48,0.0,0.0,True,Arb,"{""Unstable"":2}",,"[{""precision"":""Quad"",""status"":{""Unstable"":2},""estimated_relative_accuracy"":0.6893667861409797},{""precision"":""Arb"",""status"":{""Unstable"":2},""estimated_relative_accuracy"":null}]","{""3"":{""re"":-4.289737549986586e-43,""im"":6.178640250968247e-44},""4"":{""re"":4.5170733257255984e-45,""im"":-4.817856700181455e-45},""1"":{""re"":null,""im"":null},""0"":{""re"":3.3630716109635333e-44,""im"":-2.1823754808361572e-44},""5"":{""re"":5.4538802284028284e-46,""im"":1.5201767490231868e-46},""2"":{""re"":0.0,""im"":1.9300426612060188e-47}}",2.65342866,6a774529d8305ec8b65b15e0be67fe452b79e3f2f60fba063b12f474f7ad0f00
ap_equal,euler_norm_trigger_arb,AP48,0.0,0.0,True,Arb,"{""Unstable"":2}",,"[{""precision"":""Arb"",""status"":{""Unstable"":2},""estimated_relative_accuracy"":null}]","{""3"":{""re"":-4.289737549986586e-43,""im"":6.178640250968247e-44},""4"":{""re"":4.5170733257255984e-45,""im"":-4.817856700181455e-45},""1"":{""re"":null,""im"":null},""0"":{""re"":3.3630716109635333e-44,""im"":-2.1823754808361572e-44},""5"":{""re"":5.4538802284028284e-46,""im"":1.5201767490231868e-46},""2"":{""re"":0.0,""im"":1.9300426612060188e-47}}",2.446065426,9a6381adc83f740099e867242da10b91da69191b6f1911dce479f5c47acddd64
off_gap_01,z_norm,AP48,-7.38148110445466e-42,-9.22868273626195e-42,False,Double,"{""Stable"":2}",4.3138277720752535e-16,"[{""precision"":""Double"",""status"":{""Stable"":2},""estimated_relative_accuracy"":4.3138277720752535e-16}]","{""3"":{""re"":-4.2897351928938295e-43,""im"":6.178643926049707e-44},""4"":{""re"":4.517072097469078e-45,""im"":-4.8178547327373783e-45},""1"":{""re"":-6.991200760494522e-42,""im"":-9.263998889432177e-42},""0"":{""re"":3.3630715681766043e-44,""im"":-2.18237491921295e-44},""5"":{""re"":5.453875500125729e-46,""im"":1.520174402686533e-46},""2"":{""re"":4.159437227461573e-64,""im"":1.930040714566176e-47}}",0.036579753,43d41e967abdacf8f57ce2b49e24bf2532c058c50da01c219944d607afcfaa19
off_gap_01,euler_norm,AP48,-7.345541718376047e-42,-3.049620937914385e-43,False,Quad,"{""Stable"":2}",3.2893739468736023e-18,"[{""precision"":""Double"",""status"":{""Unstable"":2},""estimated_relative_accuracy"":0.19945352773173147},{""precision"":""Quad"",""status"":{""Stable"":2},""estimated_relative_accuracy"":3.2893739468736023e-18}]","{""3"":{""re"":-4.289735192893875e-43,""im"":6.178643926048229e-44},""4"":{""re"":4.5170720974690815e-45,""im"":-4.817854732742087e-45},""1"":{""re"":-6.955261374415908e-42,""im"":-3.402782469744638e-43},""0"":{""re"":3.363071568176602e-44,""im"":-2.182374919212943e-44},""5"":{""re"":5.453875500127933e-46,""im"":1.5201744026884792e-46},""2"":{""re"":-2.0457456371057073e-80,""im"":1.9300407145661694e-47}}",0.226555773,80ee1e832bcf352e2fa09db0141b403b99e6f942437e0706d51e80165f2dbe99
off_gap_01,euler_strict_quad,AP48,-7.345541718376047e-42,-3.0496209379143925e-43,False,Arb,"{""Stable"":2}",1.468818033388541e-293,"[{""precision"":""Double"",""status"":{""Unstable"":2},""estimated_relative_accuracy"":0.19945352773173147},{""precision"":""Quad"",""status"":{""Unstable"":2},""estimated_relative_accuracy"":3.2893739468736023e-18},{""precision"":""Arb"",""status"":{""Stable"":2},""estimated_relative_accuracy"":1.468818033388541e-293}]","{""3"":{""re"":-4.289735192893875e-43,""im"":6.178643926048229e-44},""4"":{""re"":4.5170720974690815e-45,""im"":-4.817854732742087e-45},""1"":{""re"":-6.955261374415908e-42,""im"":-3.402782469744645e-43},""0"":{""re"":3.363071568176602e-44,""im"":-2.182374919212943e-44},""5"":{""re"":5.453875500127933e-46,""im"":1.5201744026884792e-46},""2"":{""re"":0.0,""im"":1.9300407145661694e-47}}",2.669600691,f90da5ef010eaf47d2ba46b73c316865b438a4294fdb7e463f52b7148a7c7f64
