graph,returncode,timed_out,result_emitted,neval,duration_s,max_hwm_gib,avg_total_time_s,avg_integrand_time_s,avg_evaluator_time_s,nan_or_unstable_percent,result_re,error_re,rel_error_re_percent,max_weight_impact_re,result_im,error_im,rel_error_im_percent,max_weight_impact_im,max_weight_re_plus,max_weight_re_minus,max_weight_im_plus,max_weight_im_minus
GL000,0,False,True,20,32.902,9.515,0.00120353,0.001029079,0.000913819,0.0,-0.0001932847822260654,0.0006495141670688513,336.03999217547357,2.5343410349970927,-0.00047313664244490953,0.0003073341647156687,64.9567455032726,0.4821666319281067,0.007839949093243398,-0.009796991100719884,3.092559343062912e-06,-0.004562614026588699
GL001,0,False,True,20,26.317,4.877,0.00041087,0.000303983,0.000256487,0.0,4.506068236005154e-06,1.1393367517048291e-05,252.84498414851035,2.2460060292648034,1.3609420149512832e-05,1.881445389031484e-05,138.24581564548384,1.3313200793100102,0.00020241312852692386,-9.190274045999627e-05,0.00036236988625625347,-8.189602199025036e-05
GL002,0,False,True,20,26.803,4.947,0.000259249,0.00015565,0.000125373,0.0,-9.837109655604632e-05,8.678030019374724e-05,88.21727441485285,0.8459897290226117,1.6762033405406442e-05,7.252773692603347e-05,432.6905642762906,2.9844087646220245,0.00021048234463377113,-0.001664418746382136,0.0009326554372496394,-0.001000495188159643
GL003,0,False,True,20,26.304,9.498,0.000377901,0.000263854,0.000224676,0.0,0.0008917702967366694,0.0010386879285717483,116.47482904204223,1.1492970318374995,-0.0010081311307637536,0.0012329454308275655,122.30010493709227,1.197187708378686,0.020498179102406006,-0.0023787237370136655,0.003913395807715209,-0.02413844396368543
GL006,0,False,True,20,33.877,4.97,0.001099688,0.000955191,0.000883122,0.0,8.675599739330129e-06,0.0001021565221131586,1177.5153900892901,8.35182272240368,0.00039418138587826176,0.0002935756030390323,74.47728724808422,0.7362482068548779,0.0014491414206683365,-0.0013639128349815421,0.005804306770568818,-1.8402183170859934e-05
GL007,0,False,True,20,27.949,9.474,0.0009263,0.000778123,0.000707834,0.0,0.00020574411143819103,0.0018576564637557116,902.896540158712,6.5049013829982965,-0.006233634334356766,0.004717277947027821,75.67460158881113,0.7439206511696803,0.02676690310076089,-0.02435144041657119,2.1475075966378286e-05,-0.09274658626336725
GL010,0,False,True,20,28.539,9.53,0.000354502,0.000222372,0.00018221,0.0,0.0007009877209796597,0.0006617974830822618,94.4092832549723,0.9445586678520898,-0.00048759591605628926,0.0005478929406136411,112.36618736371678,1.1124296869214447,0.013242480558184395,-0.00016378508924092648,0.0010640012875791016,-0.01084832344485346
GL011,0,False,True,20,30.565,4.997,0.00031034,0.000191605,0.000157639,0.0,-1.6020958894038722e-05,1.1714604499546126e-05,73.12049532756146,0.7027331861410872,-7.012136745709708e-06,6.1986528219854215e-06,88.3989152918045,0.8829280574211947,1.1090648384394237e-05,-0.00022516918977286436,4.456605407763316e-06,-0.000123824245505225
GL012,0,False,True,20,36.051,10.195,0.000391274,0.000249953,0.000212494,0.0,-0.0010308470261313288,0.0010503034767041163,101.88742365060757,1.017758095660484,0.0002068756450119145,0.00015116739363999922,73.07162408184544,0.6606648319635133,0.0003925017018941433,-0.020983058124653883,0.002733509264982799,-4.1353918452985454e-05
GL014,0,False,True,20,41.57,10.471,0.000268495,0.000163945,0.000133494,0.0,0.00045320012103132945,0.00032408176659426337,71.50963813883443,0.6433230214688215,-0.0009443297805363816,0.0007572713129235882,80.19140437289359,0.7844229398132441,0.0058310814238382086,-3.122744716821147e-05,7.360180192847735e-05,-0.01481507885203088
