proposal,parameter,integral,second_moment,relative_variance,bounded_weight
uniform_disk,0.01,6.220353454107791,90.90241587078714,1.349336897249307,False
uniform_disk,0.0001,6.282556988648868,181.80483174157428,3.6060913581988183,False
uniform_disk,1e-08,6.283185244347733,363.60966348314855,8.210340556182995,False
uniform_disk,1e-12,6.283185307173303,545.4144952247227,12.815510557991903,False
one_normal_power,0.25,6.283185307179586,95.18008938558701,1.4109398289327966,False
one_normal_power,0.5,6.283185307179586,67.02064327658222,0.6976527263135495,False
one_normal_power,0.75,6.283185307179586,86.29447784389015,1.1858646592351105,False
uniform_transverse_radius,0,6.283185307179586,39.47841760435743,0.0,True
product_two_normal_sqrt_on_square,0.5,6.283185307179586,54.22163742681464,0.3734501207776353,True
